      x    x+1    x/5    x*23          x+3*(x/3-3)                x/(2-x)
   -4.0   -3.0   -0.8   -92.0                -17.0    -0.6666666666666666
   -3.5   -2.5   -0.7   -80.5                -16.0    -0.6363636363636364
   -3.0   -2.0   -0.6   -69.0                -15.0                   -0.6
   -2.5   -1.5   -0.5   -57.5                -14.0    -0.5555555555555556
   -2.0   -1.0   -0.4   -46.0                -13.0                   -0.5
   -1.5   -0.5   -0.3   -34.5                -12.0   -0.42857142857142855
   -1.0    0.0   -0.2   -23.0                -11.0    -0.3333333333333333
   -0.5    0.5   -0.1   -11.5                -10.0                   -0.2
    0.0    1.0    0.0     0.0                 -9.0                    0.0
    0.5    1.5    0.1    11.5                 -8.0     0.3333333333333333
    1.0    2.0    0.2    23.0                 -7.0                    1.0
    1.5    2.5    0.3    34.5                 -6.0                    3.0
    2.0    3.0    0.4    46.0                 -5.0       Division by zero
    2.5    3.5    0.5    57.5                 -4.0                   -5.0
    3.0    4.0    0.6    69.0                 -3.0                   -3.0
    3.5    4.5    0.7    80.5                 -2.0    -2.3333333333333335
    4.0    5.0    0.8    92.0                 -1.0                   -2.0
    4.5    5.5    0.9   103.5                  0.0                   -1.8
    5.0    6.0    1.0   115.0                  1.0    -1.6666666666666667
    5.5    6.5    1.1   126.5                  2.0    -1.5714285714285714
    6.0    7.0    1.2   138.0                  3.0                   -1.5
    6.5    7.5    1.3   149.5   3.9999999999999996    -1.4444444444444444
    7.0    8.0    1.4   161.0                  5.0                   -1.4
